date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2013-01-11 | 14.3
2012-01-11 | 1
2012-01-11 | 2147483648
2012-12-24 | 13.45
2012-12-27 | 13.51
2012-12-30 | 13.57
2013-01-02 | 13.42
2013-01-05 | 13.54
2013-01-08 | 13.84
2013-01-11 | 14.31
2013-01-14 | 14.34
2013-01-17 | 15.53
2013-01-20 | 16.15
2013-01-23 | 17.97
2013-01-26 | 17.71
2013-01-29 | 19.78
2013-02-01 | 21.25
2050-02-01 | 1
2050-02-01 | 1
1000-02-01 | 1
2013-02-04 | 20.99
2008-01-05 | 0
